Item,Relation,Attribute,TRUE
Pine,ISA,LivingThing,1
Pine,ISA,Plant,1
Pine,ISA,Tree,1
Pine,ISA,Pine,1
Pine,Is,Big,1
Pine,Is,Living,1
Pine,Is,Green,1
Pine,Can,Grow,1
Pine,Has,Roots,1
Pine,Has,Bark,1
Pine,Has,Branches,1
Oak,ISA,LivingThing,1
Oak,ISA,Plant,1
Oak,ISA,Tree,1
Oak,ISA,Oak,1
Oak,Is,Big,1
Oak,Is,Living,1
Oak,Can,Grow,1
Oak,Has,Roots,1
Oak,Has,Leaves,1
Oak,Has,Bark,1
Oak,Has,Branches,1
Rose,ISA,LivingThing,1
Rose,ISA,Plant,1
Rose,ISA,Flower,1
Rose,ISA,Rose,1
Rose,Is,Pretty,1
Rose,Is,Living,1
Rose,Is,Red,1
Rose,Can,Grow,1
Rose,Has,Roots,1
Rose,Has,Leaves,1
Rose,Has,Petals,1
Daisy,ISA,LivingThing,1
Daisy,ISA,Plant,1
Daisy,ISA,Flower,1
Daisy,ISA,Daisy,1
Daisy,Is,Pretty,1
Daisy,Is,Living,1
Daisy,Is,Yellow,1
Daisy,Can,Grow,1
Daisy,Has,Roots,1
Daisy,Has,Leaves,1
Daisy,Has,Petals,1
Robin,ISA,LivingThing,1
Robin,ISA,Animal,1
Robin,ISA,Bird,1
Robin,ISA,Robin,1
Robin,Is,Living,1
Robin,Is,Red,1
Robin,Can,Grow,1
Robin,Can,Move,1
Robin,Can,Fly,1
Robin,Has,Skin,1
Robin,Has,Wings,1
Robin,Has,Feathers,1
Canary,ISA,LivingThing,1
Canary,ISA,Animal,1
Canary,ISA,Bird,1
Canary,ISA,Canary,1
Canary,Is,Living,1
Canary,Is,Yellow,1
Canary,Can,Grow,1
Canary,Can,Move,1
Canary,Can,Fly,1
Canary,Can,Sing,1
Canary,Has,Skin,1
Canary,Has,Wings,1
Canary,Has,Feathers,1
Sunfish,ISA,LivingThing,1
Sunfish,ISA,Animal,1
Sunfish,ISA,Fish,1
Sunfish,ISA,Sunfish,1
Sunfish,Is,Living,1
Sunfish,Is,Yellow,1
Sunfish,Can,Grow,1
Sunfish,Can,Move,1
Sunfish,Can,Swim,1
Sunfish,Has,Skin,1
Sunfish,Has,Gills,1
Sunfish,Has,Scales,1
Salmon,ISA,LivingThing,1
Salmon,ISA,Animal,1
Salmon,ISA,Fish,1
Salmon,ISA,Salmon,1
Salmon,Is,Living,1
Salmon,Is,Red,1
Salmon,Can,Grow,1
Salmon,Can,Move,1
Salmon,Can,Swim,1
Salmon,Has,Skin,1
Salmon,Has,Gills,1
Salmon,Has,Scales,1
