Item,Relation,Attribute,TRUE
Pine,ISA,Plant,1
Pine,ISA,Tree,1
Pine,ISA,Pine,1
Pine,Is,Living,1
Pine,Is,Green,1
Pine,Can,Grow,1
Pine,Has,Roots,1
Pine,Has,Bark,1
Pine,Has,Branches,1
Oak,ISA,Plant,1
Oak,ISA,Tree,1
Oak,ISA,Oak,1
Oak,Is,Big,1
Oak,Is,Living,1
Oak,Can,Grow,1
Oak,Has,Leaves,1
Oak,Has,Roots,1
Oak,Has,Bark,1
Oak,Has,Branches,1
Maple,ISA,Plant,1
Maple,ISA,Tree,1
Maple,ISA,Maple,1
Maple,Is,Big,1
Maple,Is,Living,1
Maple,Is,Red,1
Maple,Is,Twirly,1
Maple,Can,Grow,1
Maple,Has,Leaves,1
Maple,Has,Roots,1
Maple,Has,Bark,1
Maple,Has,Branches,1
Birch,ISA,Plant,1
Birch,ISA,Tree,1
Birch,ISA,Birch,1
Birch,Is,Big,1
Birch,Is,Living,1
Birch,Is,White,1
Birch,Can,Grow,1
Birch,Has,Leaves,1
Birch,Has,Roots,1
Birch,Has,Bark,1
Birch,Has,Branches,1
Rose,ISA,Plant,1
Rose,ISA,Flower,1
Rose,ISA,Rose,1
Rose,Is,Pretty,1
Rose,Is,Living,1
Rose,Is,Red,1
Rose,Can,Grow,1
Rose,Has,Leaves,1
Rose,Has,Roots,1
Rose,Has,Petals,1
Daisy,ISA,Plant,1
Daisy,ISA,Flower,1
Daisy,ISA,Daisy,1
Daisy,Is,Pretty,1
Daisy,Is,Living,1
Daisy,Is,Yellow,1
Daisy,Can,Grow,1
Daisy,Has,Leaves,1
Daisy,Has,Roots,1
Daisy,Has,Petals,1
Tulip,ISA,Plant,1
Tulip,ISA,Flower,1
Tulip,ISA,Tulip,1
Tulip,Is,Pretty,1
Tulip,Is,Living,1
Tulip,Is,White,1
Tulip,Can,Grow,1
Tulip,Has,Leaves,1
Tulip,Has,Roots,1
Tulip,Has,Petals,1
Sunflower,ISA,Plant,1
Sunflower,ISA,Flower,1
Sunflower,ISA,Sunflower,1
Sunflower,Is,Pretty,1
Sunflower,Is,Big,1
Sunflower,Is,Living,1
Sunflower,Is,Yellow,1
Sunflower,Can,Grow,1
Sunflower,Has,Leaves,1
Sunflower,Has,Roots,1
Sunflower,Has,Petals,1
Robin,ISA,Animal,1
Robin,ISA,Bird,1
Robin,ISA,Robin,1
Robin,Is,Living,1
Robin,Is,Red,1
Robin,Can,Grow,1
Robin,Can,Move,1
Robin,Can,Fly,1
Robin,Has,Skin,1
Robin,Has,Legs,1
Robin,Has,Wings,1
Robin,Has,Feathers,1
Canary,ISA,Animal,1
Canary,ISA,Bird,1
Canary,ISA,Canary,1
Canary,Is,Pretty,1
Canary,Is,Living,1
Canary,Is,Yellow,1
Canary,Can,Grow,1
Canary,Can,Move,1
Canary,Can,Fly,1
Canary,Can,Sing,1
Canary,Has,Skin,1
Canary,Has,Legs,1
Canary,Has,Wings,1
Canary,Has,Feathers,1
Sparrow,ISA,Animal,1
Sparrow,ISA,Bird,1
Sparrow,ISA,Sparrow,1
Sparrow,Is,Living,1
Sparrow,Can,Grow,1
Sparrow,Can,Move,1
Sparrow,Can,Fly,1
Sparrow,Has,Skin,1
Sparrow,Has,Legs,1
Sparrow,Has,Wings,1
Sparrow,Has,Feathers,1
Penguin,ISA,Animal,1
Penguin,ISA,Bird,1
Penguin,ISA,Penguin,1
Penguin,Is,Living,1
Penguin,Is,White,1
Penguin,Can,Grow,1
Penguin,Can,Move,1
Penguin,Can,Swim,1
Penguin,Can,Walk,1
Penguin,Has,Skin,1
Penguin,Has,Legs,1
Penguin,Has,Wings,1
Penguin,Has,Feathers,1
Sunfish,ISA,Animal,1
Sunfish,ISA,Fish,1
Sunfish,ISA,Sunfish,1
Sunfish,Is,Living,1
Sunfish,Is,Yellow,1
Sunfish,Can,Grow,1
